         270         371         785        1156
         271         379         792        1171
         272         391         798        1189
         273         390         794        1184
         274         391         801        1192
         275         381         783        1164
         276         369         806        1175
         277         366         811        1177
         278         353         786        1139
         279         348         797        1145
         280         365         781        1146
         281         360         798        1158
         282         367         782        1149
         283         375         777        1152
         284         381         793        1174
         285         406         804        1210
         286         397         801        1198
         287         403         800        1203
         288         404         803        1207
         289         412         799        1211
         290         408         795        1203
         291         391         781        1172
         292         390         780        1170
         293         390         774        1164
         294         369         793        1162
         295         350         804        1154
         296         357         801        1158
         297         361         799        1160
         298         355         806        1161
         299         345         786        1131
         300         354         806        1160
         301         376         784        1160
         302         371         801        1172
         303         380         789        1169
         304         390         794        1184
         305         404         792        1196
         306         405         805        1210
         307         393         786        1179
         308         402         794        1196
         309         411         798        1209
         310         410         796        1206
         311         392         806        1198
         312         384         805        1189
         313         385         792        1177
         314         385         785        1170
         315         365         810        1175
         316         373         793        1166
         317         379         792        1171
         318         388         785        1173
         319         383         782        1165
         320         383         785        1168
         321         398         786        1184
         322         394         792        1186
         323         384         780        1164
         324         395         792        1187
         325         401         800        1201
         326         388         784        1172
         327         387         783        1170
         328         396         784        1180
         329         390         776        1166
         330         390         785        1175
         331         403         778        1181
         332         401         780        1181
         333         401         782        1183
         334         397         785        1182
         335         405         784        1189
         336         407         785        1192
         337         413         778        1191
         338         418         772        1190
         339         400         795        1195
         340         393         785        1178
         341         398         783        1181
         342         377         802        1179
         343         381         804        1185
         344         378         821        1199
         345         371         788        1159
         346         374         788        1162
         347         375         794        1169
         348         382         794        1176
         349         371         797        1168
         350         374         793        1167
         351         376         797        1173
         352         383         802        1185
         353         392         806        1198
         354         390         809        1199
         355         394         814        1208
         356         382         793        1175
         357         378         797        1175
         358         382         784        1166
         359         384         785        1169
         360         394         781        1175
         361         380         798        1178
         362         370         807        1177
         363         374         807        1181
         364         388         805        1193
         365         387         808        1195
         366         392         801        1193
         367         394         797        1191
         368         396         798        1194
         369         392         806        1198
         370         400         803        1203
         371         402         783        1185
         372         393         814        1207
         373         390         780        1170
         374         393         779        1172
         375         403         782        1185
         376         397         788        1185
         377         395         779        1174
         378         382         782        1164
         379         383         786        1169
         380         390         781        1171
         381         391         781        1172
         382         396         785        1181
         383         405         783        1188
         384         422         785        1207
         385         421         789        1210
         386         421         788        1209
         387         402         814        1216
         388         400         786        1186
         389         384         808        1192
         390         382         812        1194
         391         394         807        1201
         392         382         811        1193
         393         383         786        1169
         394         378         789        1167
         395         380         788        1168
         396         379         779        1158
         397         386         808        1194
         398         390         780        1170
         399         397         775        1172
         400         398         807        1205
