           1           0           0           0           0           0
           2           0           0           1           1           0
           3           0           0           1           1           0
           4           0           0           1           1           0
           5           0           1           1           1           1
           6           0           1           1           1           1
           7           0           1           1           1           1
           8           0           1           1           1           1
           9           0           1           1           1           1
          10           0           1           1           1           1
          11           0           1           1           1           1
          12           0           1           1           0           1
          13           0           1           1           0           1
          14           0           1           1           0           1
          15           0           1           1           0           1
          16           0           1           1           0           1
          17           0           1           0           0           1
          18           0           1           0           0           0
          19           0           0          15          16           0
          20           0           0          14          16           0
          21           0           0          32          35           0
          22           0           0          31          35          13
          23           0           0          30          54          13
          24           0           0          30          54          28
          25           0           0          30          68          28
          26           0           0          30          68          46
          27           0           0          29          84          46
          28           0           0          27          83          59
          29           0           0          26          79          59
          30           0           0          25          77          74
          31           0           0          22          73          72
          32           0           0          18          62          87
          33           0           0           9          53          84
          34           0           0           3          46          80
          35           0           0           2          41          74
          36           0           0           0          31          71
          37           0           0           0          24          60
          38           0           0           0          10          50
          39           0           0           0           5         265
          40           0           0           0           2         255
          41           0           0           0           1         413
          42           0           0           0           0         401
          43           0           0           0           0         424
          44           0           0           0           0         413
          45           0           0           0           0         422
          46           0           0           0         423         415
          47           0           0           0         418         448
          48           0           0           0         433         442
          49           0           0           0         429         424
          50           0           0           0         441         398
          51           0           0           0         433         385
          52           0           0          34         465         324
          53           0           0          34         462         292
          54           0           0          34         472         215
          55           0           0          34         467         335
          56           0           0          34         410         324
          57           0           0          34         348         406
          58           0           0          34         303         409
          59           0           0          34         221         428
          60           0           0          33         163         426
          61           0           0          33          97         433
          62           0           0          30          84         429
          63           0           0          26         405         431
          64           0           0          19         387         423
          65           0           0          12         413         386
          66           0           0           4         394         378
          67           0           0           0         406         334
          68           0           0           0         392         325
          69           0           0           0         427         264
          70           0           0           0         421         258
          71           0           0           0         424         222
          72           0           0           0         415         334
          73           0           0           0         386         381
          74           0           0           0         336         381
          75           0           0           0         326         392
          76           0           0           0         275         405
          77           0           0           0         217         408
          78           0           0           0         167         411
          79           0           0           0         149         421
          80           0           0           0         134         407
          81           0           0         318         113         397
          82           0           0         313         105         390
          83           0           0         381          88         357
          84           0           0         377          78         377
          85           0           0         373          67         318
          86           0           0         371          48         330
          87           0           0         369          34         303
          88           0           0         365          20         375
          89           0           0         361          15         408
          90           0           0         357           4         399
          91           0           0         309           3         396
          92           0           0         256           0         389
          93           0           0         192           0         405
          94           0           0         139           0         394
          95           0           0          79           0         402
          96           0           0          22           0         404
          97           0           0          11           0         395
          98           0           0           0           0         389
          99           0           0           0           0         358
         100           0           0           0           0         357
         101           0           0         400         430         335
         102           0           0         397         423         355
         103           0           0         414         438         335
         104           0           0         425         448         374
         105           0           0         419         447         376
         106           0           0         415         445         385
         107           0           0         411         441         366
         108           0           0         406         436         351
         109           0           0         399         430         369
         110           0           0         394         427         381
         111           0           0         330         357         386
         112           0           0         256         290         389
         113           0           0         205         227         375
         114           0           0         133         162         370
         115           0           0          77          88         356
         116           0           0          14          12         380
         117           0           0           8           9         377
         118           0           0           2           3         381
         119           0           0           0           0         371
         120           0           0           0           0         389
         121           0           0           0           0         403
         122           0           0           0         314         406
         123           0           0           0         424         395
         124           0           0           0         437         407
         125           0           0           0         431         400
         126           0           0           0         458         414
         127           0           0           0         455         406
         128           0           0           0         452         405
         129           0           0           0         448         392
         130           0           0           0         442         393
         131           0           0           0         438         378
         132           0           0           0         382         367
         133           0           0           0         312         362
         134           0           0           0         242         355
         135           0           0           0         173         349
         136           0           0           0         102         380
         137           0           0           0          42         371
         138           0           0           0          17         379
         139           0           0           0           9         391
         140           0           0           0           1         399
         141           0           0           0           0         378
         142           0           0           0           0         382
         143           0           0           0           0         390
         144           0           0           0           0         405
         145           0           0           0           0         412
         146           0           0           0           0         411
         147           0           0           0           0         386
         148           0           0           0           0         372
         149           0           0           0           0         375
         150           0           0           0           0         357
         151           0           0           0           0         360
         152           0           0           0           0         360
         153           0           0           0           0         363
         154           0           0           0           0         373
         155           0           0           0           0         390
         156           0           0           0           0         380
         157           0           0           0           0         389
         158           0           0           0           0         374
         159           0           0           0           0         370
         160           0           0           0           0         376
         161           0           0           0           0         380
         162           0           0           0           0         410
         163           0           0           0           0         389
         164           0           0           0           0         407
         165           0           0           0           0         402
         166           0           0           0           0         393
         167           0           0           0           0         390
         168           0           0           0           0         401
         169           0           0           0           0         384
         170           0           0           0           0         389
         171           0           0           0           0         395
         172           0           0           0           0         386
         173           0           0           0           0         390
         174           0           0           0           0         371
         175           0           0           0           0         364
         176           0           0           0           0         363
         177           0           0           0           0         359
         178           0           0           0           0         376
         179           0           0           0           0         355
         180           0           0           0           0         358
         181           0           0           0           0         346
         182           0           0           0           0         331
         183           0           0           0           0         339
         184           0           0           0           0         348
         185           0           0           0           0         346
         186           0           0           0           0         352
         187           0           0           0           0         364
         188           0           0           0           0         351
         189           0           0           0           0         352
         190           0           0           0           0         339
         191           0           0           0           0         344
         192           0           0           0           0         353
         193           0           0           0           0         356
         194           0           0           0           0         388
         195           0           0           0           0         382
         196           0           0           0           0         390
         197           0           0           0           0         391
         198           0           0           0           0         395
         199           0           0           0           0         404
         200           0           0           0           0         416
         201           0           0           0           0         419
         202           0           0           0           0         403
         203           0           0           0           0         408
         204           0           0           0           0         415
         205           0           0           0           0         403
         206           0           0           0           0         388
         207           0           0           0           0         394
         208           0           0           0           0         385
         209           0           0           0           0         381
         210           0           0           0           0         399
         211           0           0           0           0         375
         212           0           0           0           0         378
         213           0           0           0           0         363
         214           0           0           0           0         349
         215           0           0           0           0         344
