           1           0           5           5
           2           2           2           4
           3           2           2           4
           4           2           1           3
           5           3           0           3
           6           3           0           3
           7           3           0           3
           8           3           0           3
           9           3           0           3
          10           2           0           2
          11           2           0           2
          12           2           0           2
          13           2           0           2
          14           2           9          11
          15           1           8           9
          16           1           8           9
          17           1          18          19
          18           0          18          18
          19           0          18          18
          20           0          17          17
          21           0          17          17
          22           0          15          15
          23           0          15          15
          24           0          15          15
          25           0          13          13
          26           0          13          13
          27           0          13          13
          28           0          13          13
          29           0          13          13
          30           5           7          12
          31           5           7          12
          32           5           7          12
          33          12           0          12
          34          12           0          12
          35          12           0          12
          36          12           0          12
          37          12           0          12
          38          12           0          12
          39          12           0          12
          40          12           0          12
          41           9           0           9
          42           7          25          32
          43           6          22          28
          44           6          20          26
          45           3          74          77
          46           0          72          72
          47           0          70          70
          48           0          69          69
          49           0          66          66
          50           0          65          65
          51           0          64          64
          52           0          62          62
          53           0          61          61
          54           0          60          60
          55           0          60          60
          56           0          60          60
          57           0          59          59
          58          11          42          53
          59          11          39          50
          60          11          39          50
          61          42           0          42
          62          41           0          41
          63          41           0          41
          64          41           0          41
          65          40           0          40
          66          40           0          40
          67          40           0          40
          68          40           0          40
          69          35           0          35
          70          32          50          82
          71          29          49          78
          72          20          48          68
          73           8         219         227
          74           0         209         209
          75           0         203         203
          76           0         200         200
          77           0         196         196
          78           0         189         189
          79           0         185         185
          80           0         180         180
          81           0         175         175
          82          27         138         165
          83          27         135         162
          84          27         134         161
          85         143         233         376
          86         141         229         370
          87         141         222         363
          88         141        1013        1154
          89         140        1215        1355
          90         137        1171        1308
          91         137        1135        1272
          92         136        1174        1310
          93         134        1371        1505
          94         133        1336        1469
          95         132        1298        1430
          96         132        1345        1477
          97         264        1365        1629
          98         255        1323        1578
          99         246        1285        1531
         100         701        1585        2286
         101         806        1365        2171
         102         765        1320        2085
         103         757        1327        2084
         104         799        1477        2276
         105         912        1291        2203
         106         905        1259        2164
         107         892        1362        2254
         108         928        1497        2425
         109        1047        1301        2348
         110        1041        1266        2307
         111        1028        1370        2398
         112        1493        1103        2596
         113        1434        1062        2496
         114        1376        1032        2408
         115        1245        1576        2821
         116        1197        1577        2774
         117         993        1533        2526
         118         954        1529        2483
         119        1008        1560        2568
         120        1096        1549        2645
         121        1041        1497        2538
         122         992        1519        2511
         123        1045        1563        2608
         124        1253        1545        2798
         125        1199        1515        2714
         126        1144        1525        2669
         127        1354        1577        2931
         128        1300        1369        2669
         129        1137        1323        2460
         130        1144        1578        2722
         131        1182        1459        2641
         132        1244        1287        2531
         133        1188        1395        2583
         134        1201        1576        2777
         135        1241        1448        2689
         136        1335        1185        2520
         137        1279        1294        2573
         138        1277        1559        2836
         139        1503        1220        2723
         140        1657        1574        3231
         141        1664        1557        3221
         142        1712        1575        3287
         143        1593        1569        3162
         144        1442        1559        3001
         145        1502        1568        3070
         146        1704        1569        3273
         147        1683        1561        3244
         148        2036        1579        3615
         149        2069        1574        3643
         150        2169        1572        3741
         151        2103        1562        3665
         152        2006        1575        3581
         153        2050        1560        3610
         154        2146         778        2924
         155        2033        1585        3618
         156        2187        1565        3752
         157        2174        1565        3739
         158        2148        1555        3703
         159        2078        1571        3649
         160        2049        1577        3626
         161        2051        1555        3606
         162        1991        1560        3551
         163        2485        1589        4074
         164        2632        1563        4195
         165        2583        1555        4138
         166        2538        1560        4098
         167        2376        1569        3945
         168        2240           0        2240
         169        2029        1608        3637
         170        1901        1562        3463
         171        1822        1574        3396
         172        1735        1561        3296
         173        1622        1553        3175
         174        1508        1561        3069
         175        1374           0        1374
         176        1255        1609        2864
         177        1123        1558        2681
         178        1073        1563        2636
         179        1042        1568        2610
         180         997        1558        2555
         181         947        1569        2516
         182         747         779        1526
         183         484        1583        2067
         184         793        1579        2372
         185         697        1564        2261
         186         637        1556        2193
         187         612        1567        2179
         188         585        1566        2151
         189         580         785        1365
         190         571        1074        1645
         191        1107         881        1988
         192        1098        1579        2677
         193        1107        1540        2647
         194        1114        1574        2688
         195        1122        1566        2688
         196        1114         769        1883
         197        1108        1580        2688
         198        1098        1564        2662
         199        1084        1565        2649
         200        1555        1573        3128
         201        1542        1554        3096
         202        1575        1552        3127
         203        1442         780        2222
         204        1298        1011        2309
         205        1148        1570        2718
         206        1141        1573        2714
         207        1128        1565        2693
         208        1512        1577        3089
         209        1495        1563        3058
         210        1394         784        2178
         211        1262         786        2048
         212        1127         784        1911
         213        1146         788        1934
         214        1163         777        1940
         215        1160         786        1946
         216        1453         793        2246
         217        1446           0        1446
         218        1428         800        2228
         219        1285         772        2057
         220        1130         776        1906
         221         984         770        1754
         222         952         782        1734
         223         918         780        1698
         224         890           0         890
         225         861         804        1665
         226         837         776        1613
         227         705         791        1496
         228         593         778        1371
         229         463         774        1237
         230         433         782        1215
         231         391         781        1172
         232         365         770        1135
         233         862         803        1665
         234         820         778        1598
         235         734         775        1509
         236         643         783        1426
         237         550         785        1335
         238         569         780        1349
         239         577         786        1363
         240         584         787        1371
         241        1039         605        1644
         242        1029         788        1817
         243        1057         785        1842
         244        1071         780        1851
         245        1085         782        1867
         246        1106         779        1885
         247        1115         780        1895
         248        1126         788        1914
         249        1361         796        2157
         250        1497         782        2279
         251        1519         779        2298
         252        1387         786        2173
         253        1292         787        2079
         254        1170         780        1950
         255        1195         776        1971
         256        1224         783        2007
         257        1396         787        2183
         258        1490         791        2281
         259        1522         781        2303
         260         987        1110        2097
         261        1012         897        1909
         262         955         793        1748
         263         963         787        1750
         264         975         778        1753
         265         980         780        1760
         266         985         788        1773
         267         993         781        1774
         268         962         772        1734
         269         978         788        1766
         270         955         787        1742
         271         915         784        1699
         272         867         790        1657
         273         832         774        1606
         274         795         781        1576
         275         789         788        1577
         276         755         782        1537
         277         722         786        1508
         278         664         773        1437
         279         633         781        1414
         280         633         780        1413
         281         741         781        1522
         282         786         791        1577
         283         780         769        1549
         284         711         776        1487
         285         631         784        1415
         286         587         785        1372
         287         576         792        1368
         288         602         785        1387
         289         632         783        1415
         290         662         796        1458
         291         678         788        1466
         292         683         789        1472
         293         778         788        1566
         294         804         788        1592
         295         797         778        1575
         296         764         783        1547
         297         707         790        1497
         298         657         787        1444
         299         651         790        1441
         300         650         786        1436
         301         687         779        1466
         302         700         787        1487
         303         697         770        1467
         304         704         787        1491
         305         763         782        1545
         306         768         787        1555
         307         749         779        1528
         308         718         781        1499
         309         674         779        1453
         310         639         778        1417
         311         624         780        1404
         312         630         780        1410
         313         663         786        1449
         314         678         794        1472
         315         682         785        1467
         316         687         787        1474
         317         713         785        1498
         318         715         781        1496
         319         706         770        1476
         320         694         778        1472
         321         493         880        1373
         322         470         811        1281
         323         461         785        1246
         324         463         787        1250
         325         451         781        1232
         326         457         783        1240
         327         462         789        1251
         328         468         780        1248
         329         459         787        1246
         330         455         787        1242
         331         448         784        1232
         332         454         781        1235
         333         456         777        1233
         334         465         790        1255
         335         472         780        1252
         336         483         786        1269
         337         441         771        1212
         338         411         778        1189
         339         383         781        1164
         340         381         784        1165
         341         347         772        1119
         342         342         775        1117
         343         335         775        1110
         344         315         777        1092
         345         294         778        1072
         346         288         773        1061
         347         287         786        1073
         348         307         799        1106
         349         339         716        1055
         350         368         648        1016
         351         382         642        1024
         352         402         742        1144
         353         382         772        1154
         354         372         786        1158
         355         361         790        1151
         356         368         777        1145
         357         357         783        1140
         358         369         783        1152
         359         370         774        1144
         360         370         790        1160
         361         364         791        1155
         362         352         783        1135
         363         358         782        1140
         364         369         778        1147
         365         341         784        1125
         366         325         779        1104
         367         333         779        1112
         368         390         785        1175
         369         385         779        1164
         370         379         780        1159
         371         364         780        1144
         372         357         780        1137
         373         345         783        1128
         374         350         781        1131
         375         361         790        1151
         376         371         786        1157
         377         387         743        1130
         378         399         687        1086
         379         400         767        1167
         380         397         779        1176
         381         363         784        1147
         382         347         783        1130
         383         350         784        1134
         384         391         782        1173
         385         377         782        1159
         386         379         786        1165
         387         374         790        1164
         388         356         780        1136
         389         362         780        1142
         390         365         782        1147
         391         366         786        1152
         392         371         782        1153
         393         354         787        1141
         394         335         783        1118
         395         373         782        1155
         396         380         789        1169
         397         365         782        1147
         398         353         782        1135
         399         346         788        1134
         400         361         773        1134
