1	7
2	7
3	7
4	7
5	6
6	4
7	4
8	3
9	2
10	2
11	2
12	1
13	0
14	0
15	18
16	36
17	69
18	112
19	143
20	186
21	229
22	253
23	273
24	282
25	302
26	306
27	317
28	312
29	303
30	279
31	287
32	293
33	451
34	613
35	1002
36	1426
37	1931
38	2248
39	2657
40	2819
41	2992
42	3064
43	3120
44	3146
45	3192
46	3092
47	3024
48	2811
49	2532
50	2284
51	2048
52	1959
53	1962
54	2121
55	2352
56	2523
57	2675
58	2725
59	2789
60	2837
61	2872
62	2897
63	2877
64	2833
65	2774
66	2587
67	2458
68	2280
69	2206
70	2222
71	2259
72	2355
73	2512
74	2610
75	2693
76	2731
77	2774
78	2786
79	2787
80	2799
81	2799
82	2755
83	2690
84	2595
85	2525
86	2433
87	2449
88	2450
89	2535
90	2575
91	2649
92	2721
93	2759
94	2773
95	2782
96	2756
97	2749
98	2751
99	2732
100	2709
101	2670
102	2602
103	2602
104	2569
105	2573
106	2597
107	2645
108	2670
109	2703
110	2705
111	2746
112	2725
113	2725
114	2710
115	2717
116	2639
117	2623
118	2602
119	2585
120	2583
121	2602
122	2607
123	2613
124	2633
125	2654
126	2599
127	2571
128	2491
129	2472
130	2428
131	2390
132	2318
133	2223
134	2131
135	2041
136	1979
137	1919
138	1869
139	1856
140	1764
141	1738
142	1671
143	1619
144	1561
145	1513
146	1451
147	1388
148	1383
149	1399
150	1406
151	1412
152	1419
153	1342
154	1282
155	1390
156	1523
157	1645
158	1757
159	1922
160	1875
161	1810
162	1834
163	1833
164	1824
165	1871
166	1930
167	1969
168	1896
169	1886
170	1840
171	1829
172	1845
173	1849
174	1851
175	1839
176	1895
177	1928
178	1909
179	1874
180	1832
181	1814
182	1708
183	1660
184	1703
185	1662
186	1671
187	1729
188	1727
189	1684
190	1720
191	1768
192	1807
193	1842
194	1819
195	1810
196	1755
197	1694
198	1642
199	1549
200	1535
201	1507
202	1529
203	1474
204	1515
205	1573
206	1615
207	1716
208	1812
209	1865
210	1899
211	1901
212	1877
213	1818
214	1754
215	1670
216	1613
217	1503
218	1445
219	1423
220	1397
221	1387
222	1433
223	1420
224	1468
225	1552
226	1600
227	1643
228	1712
229	1710
230	1710
231	1651
232	1597
233	1525
234	1431
235	1302
236	1192
237	1114
238	996
239	1010
240	998
241	1034
242	1081
243	1114
244	1097
245	1079
246	1125
247	1190
248	1270
249	1326
250	1391
251	1347
252	1283
253	1297
254	1305
255	1286
256	1326
257	1401
258	1390
259	1331
260	1340
261	1326
262	1335
263	1389
264	1433
265	1455
266	1403
267	1360
268	1298
269	1194
270	1138
271	1087
272	1087
273	1042
274	991
275	929
276	824
